"ID","Name","RA","DEC","Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Ext. catalog/s"
"27239","SN 2018crn","18:55:21.84","+56:35:18.14","SN Ia","0.05","","","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF18aazsabq","P48 - ZTF-Cam, ATLAS1 - ACAM1","","1","1","","20.09","r-ZTF","2018-06-12 08:47:02","ZTF_Bot1",""
"27240","SN 2018cro","21:00:49.26","+09:31:28.18","SN Ia","0.076","","","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF18abadjhx","P48 - ZTF-Cam, ATLAS1 - ACAM1","","1","1","","19.75","g-ZTF","2018-06-12 10:03:21","ZTF_Bot1",""
"27241","AT 2018crp","18:57:44.62","+32:13:46.47","","0","","","ZTF","ZTF","ZTF","ZTF18abbtilo","P48 - ZTF-Cam","","1","1","","18.48","r-ZTF","2018-06-18 07:56:38","ZTF_Bot1",""
"27242","AT 2018crq","19:40:06.59","+60:28:59.42","CV","","","","ZTF","ZTF","ZTF","ZTF18aazrdpr","P48 - ZTF-Cam","","1","1","","17.15","r-ZTF","2018-06-12 10:55:12","ZTF_Bot1",""
"27243","SN 2018crr","16:59:37.23","+59:04:23.73","SN Ia","0.073","","","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF18aazabmh","P48 - ZTF-Cam, Gaia - Gaia-photometric","","1","1","","20.32","r-ZTF","2018-06-09 07:22:04","ZTF_Bot1",""
"27244","SN 2018crs","17:20:24.40","+55:12:52.72","SN Ia","0.072","","","ZTF","ZTF","ZTF","ZTF18aazjztm","P48 - ZTF-Cam","","1","1","","19.69","g-ZTF","2018-06-12 06:44:38","ZTF_Bot1",""
"27245","AT 2018crt","22:39:56.80","+66:49:48.47","","","","","ATLAS","","ATLAS","ATLAS18qtr","ATLAS1 - ACAM1","","1","1","","17.491","cyan-ATLAS","2018-06-15 14:26:52","ATLAS_Bot1",""
"27246","AT 2018cru","21:08:26.27","+31:23:54.61","","","","","ATLAS","","ATLAS","ATLAS18raa","ATLAS1 - ACAM1","","1","1","","17.373","cyan-ATLAS","2018-06-18 14:31:12","ATLAS_Bot1",""
"27247","AT 2018crv","20:48:22.07","+25:44:19.77","","","","","ATLAS","","ATLAS","ATLAS18rab","ATLAS1 - ACAM1","","1","1","","18.419","cyan-ATLAS","2018-06-18 14:19:40","ATLAS_Bot1",""
"27248","AT 2018crw","21:05:37.59","+29:22:09.95","","","","","ATLAS","","ATLAS","ATLAS18rac","ATLAS1 - ACAM1","","1","1","","18.488","cyan-ATLAS","2018-06-18 14:31:12","ATLAS_Bot1",""
"27249","AT 2018crx","17:44:08.16","-03:50:46.85","","","","","ATLAS","","ATLAS","ATLAS18qvy","ATLAS1 - ACAM1","","1","1","","18.35","orange-ATLAS","2018-06-15 12:20:09","ATLAS_Bot1",""
"27250","AT 2018cry","17:03:28.75","+00:52:30.24","","","","","ATLAS","","ATLAS","ATLAS18qxu","ATLAS1 - ACAM1","","1","1","","19.565","cyan-ATLAS","2018-06-17 11:47:02","ATLAS_Bot1",""
"27251","AT 2018crz","15:59:26.43","+00:55:55.12","","","","","ATLAS","","ATLAS","ATLAS18qyx","ATLAS1 - ACAM1","","1","1","","19.488","cyan-ATLAS","2018-06-17 10:40:48","ATLAS_Bot1",""
"27252","AT 2018csa","15:19:14.87","+04:29:42.43","","","","","ATLAS","","ATLAS","ATLAS18quy","ATLAS1 - ACAM1","","1","1","","17.861","orange-ATLAS","2018-06-13 11:13:55","ATLAS_Bot1",""
"27253","AT 2018csb","13:20:15.58","-11:05:56.50","","","","","ATLAS, Pan-STARRS1","","ATLAS; Pan-STARRS1","ATLAS18qyn","ATLAS1 - ACAM1, PS1 - GPC1","","1","1","","19.489","cyan-ATLAS","2018-06-17 08:44:09","ATLAS_Bot1",""
"27254","AT 2018csc","00:07:12.37","-21:37:34.20","","","","","ATLAS","","ATLAS","ATLAS18rbc","ATLAS1 - ACAM1","","1","1","","18.642","orange-ATLAS","2018-06-18 14:25:26","ATLAS_Bot1",""
"27255","AT 2018csd","18:50:03.41","+30:48:33.32","","","","","ATLAS","","ATLAS","ATLAS18rbk","ATLAS1 - ACAM1","","1","1","","19.16","cyan-ATLAS","2018-06-18 12:37:26","ATLAS_Bot1",""
"27256","AT 2018cse","14:26:23.12","+23:01:17.87","","","","","ATLAS","","ATLAS","ATLAS18rbm","ATLAS1 - ACAM1","","1","1","","19.174","cyan-ATLAS","2018-06-18 09:08:38","ATLAS_Bot1",""
"27257","AT 2018csf","12:57:15.56","-17:39:19.21","","","","","Pan-STARRS1","","Pan-STARRS1","PS18abp","PS1 - GPC1","","1","1","","19.76","w-PS1","2018-06-03 06:33:07","PS1_Bot1",""
"27258","AT 2018csg","13:06:54.09","-00:04:21.86","","","","","Pan-STARRS1","","Pan-STARRS1","PS18abo","PS1 - GPC1","","1","1","","20.76","w-PS1","2018-06-02 06:40:19","PS1_Bot1",""
"27259","AT 2018csh","13:27:11.02","-22:15:16.12","","","","","Pan-STARRS1","","Pan-STARRS1","PS18abq","PS1 - GPC1","","1","1","","20.8","w-PS1","2018-06-03 06:38:52","PS1_Bot1",""
"27260","AT 2018csi","16:06:54.08","-10:23:26.57","","","","","Pan-STARRS1","","Pan-STARRS1","PS18abt","PS1 - GPC1","","1","1","","21.06","w-PS1","2018-06-05 09:14:24","PS1_Bot1",""
"27261","AT 2018csj","15:12:41.35","+17:35:18.44","","","","","Pan-STARRS1","","Pan-STARRS1","PS18abs","PS1 - GPC1","","1","1","","20.07","i-Sloan","2018-06-05 10:40:48","PS1_Bot1",""
"27262","AT 2018csk","16:08:47.07","-10:56:51.91","","","","","Pan-STARRS1","","Pan-STARRS1","PS18abu","PS1 - GPC1","","1","1","","21.62","w-PS1","2018-06-05 09:14:24","PS1_Bot1",""
"27263","AT 2018csl","22:25:47.88","-13:09:56.52","","","NGC 7269","0.0319","SNHunt","","CRTS; SNHunt","","Other - Other","","1","1","","20.3","V-crts-CRTS","2018-06-19 09:35:52","Drake",""
"27264","AT 2018csm","15:17:08.02","+01:05:58.90","","","","","ATLAS, ZTF","","ATLAS; ZTF","ATLAS18rdv","ATLAS1 - ACAM1, P48 - ZTF-Cam","","1","1","","18.816","orange-ATLAS","2018-06-19 09:40:19","ATLAS_Bot1",""
"27265","AT 2018csn","12:55:37.75","+14:31:38.06","","","","","ATLAS","","ATLAS","ATLAS18ret","ATLAS1 - ACAM1","","1","1","","17.611","orange-ATLAS","2018-06-20 07:33:36","ATLAS_Bot1",""
"27266","AT 2018cso","09:15:25.56","+21:40:10.55","","","","","ATLAS","","ATLAS","ATLAS18reu","ATLAS1 - ACAM1","","1","1","","16.974","orange-ATLAS","2018-06-20 06:46:04","ATLAS_Bot1",""
"27267","AT 2018csp","14:39:06.33","-14:38:52.18","","","","","ATLAS","","ATLAS","ATLAS18rgo","ATLAS1 - ACAM1","","1","1","","18.856","cyan-ATLAS","2018-06-17 09:59:02","ATLAS_Bot1",""
"27268","AT 2018csq","14:33:12.57","-40:03:52.06","","","","","ATLAS","","ATLAS","ATLAS18rid","ATLAS1 - ACAM1","","1","1","","18.309","orange-ATLAS","2018-06-18 08:18:14","ATLAS_Bot1",""
"27269","AT 2018csr","02:29:38.07","+22:35:37.18","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bom","Gaia - Gaia-photometric","","1","1","","18.33","G-Gaia","2018-06-18 02:25:26","Gaia_Bot1",""
"27270","AT 2018css","03:21:53.88","-38:42:00.61","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bon","Gaia - Gaia-photometric","","1","1","","18.19","G-Gaia","2018-06-17 19:45:07","Gaia_Bot1",""
"27271","AT 2018cst","14:50:37.37","+00:31:20.46","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bop","Gaia - Gaia-photometric","","1","1","","18.87","G-Gaia","2018-06-18 06:01:26","Gaia_Bot1",""
"27272","AT 2002ma","11:31:17.47","-00:58:24.60","","","SDSS J113117.55-005828.8","0.0639","","","","","Sloan - SDSS I-II Spec","","1","1","","19.3525","r-Sloan","2002-12-31 12:38:08","Nowell",""
"27273","AT 2018csu","16:09:50.29","+72:52:04.61","","","","","ATLAS","","ATLAS","ATLAS18ril","ATLAS1 - ACAM1","","1","1","","17.891","orange-ATLAS","2018-06-17 10:04:48","ATLAS_Bot1",""
"27274","AT 2018csv","12:23:58.21","+47:57:34.81","","","","","ATLAS","","ATLAS","ATLAS18rin","ATLAS1 - ACAM1","","1","1","","19.678","cyan-ATLAS","2018-06-15 08:09:36","ATLAS_Bot1",""
"27275","AT 2018csw","19:28:31.84","+73:58:24.17","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bor","Gaia - Gaia-photometric","","1","1","","18.24","G-Gaia","2018-06-18 23:32:38","Gaia_Bot1",""
"27276","AT 2018csx","04:00:07.76","-45:19:00.52","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bot","Gaia - Gaia-photometric","","1","1","","18.68","G-Gaia","2018-06-19 01:55:12","Gaia_Bot1",""
"27277","AT 2018csy","05:11:11.05","-64:01:05.74","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bou","Gaia - Gaia-photometric","","1","1","","17.93","G-Gaia","2018-06-19 02:18:14","Gaia_Bot1",""
"27278","AT 2018csz","03:30:23.53","-22:11:12.80","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bow","Gaia - Gaia-photometric","","1","1","","17.58","G-Gaia","2018-06-19 13:29:16","Gaia_Bot1",""
"27279","AT 2018cta","05:42:41.75","-69:05:03.01","","","","","GaiaAlerts","","GaiaAlerts","Gaia18boz","Gaia - Gaia-photometric","","1","1","","17.58","G-Gaia","2018-06-18 20:24:00","Gaia_Bot1",""
"27280","AT 2018ctb","22:01:08.36","+20:03:05.29","","","KUG 2158+198B ","","ASAS-SN","","ASAS-SN","ASASSN-18nr","ASASSN-5 - Payne-Gaposchkin, ASASSN-1 - Brutus","","1","1","","16.5","V-Johnson","2018-06-19 13:12:00","Stanek",""
"27281","AT 2018ctc","14:18:18.02","+28:58:23.88","","","UGC 9155","0.0422","SNHunt","","CRTS; SNHunt","","Other - Other","","1","1","","20.2","V-crts-CRTS","2018-06-21 05:52:35","Drake",""
"27282","AT 2018ctd","02:57:26.58","+05:59:55.43","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bpa","Gaia - Gaia-photometric","","1","1","","18.01","G-Gaia","2018-06-19 20:45:36","Gaia_Bot1",""
"27283","AT 2018cte","03:01:11.63","-01:55:44.69","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bpb","Gaia - Gaia-photometric","","1","1","","19.02","G-Gaia","2018-06-19 02:52:48","Gaia_Bot1",""
"27284","AT 2018ctf","03:05:23.87","-00:14:29.87","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bpc","Gaia - Gaia-photometric","","1","1","","18.28","G-Gaia","2018-06-19 20:51:21","Gaia_Bot1",""
"27285","AT 2018ctg","10:44:05.21","-69:56:11.33","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bpe","Gaia - Gaia-photometric","","1","1","","17.8","G-Gaia","2018-06-19 22:37:55","Gaia_Bot1",""
"27286","AT 2018cth","03:13:20.34","-08:03:57.02","","","","","GaiaAlerts","","GaiaAlerts","Gaia18bph","Gaia - Gaia-photometric","","1","1","","18.9","G-Gaia","2018-06-19 15:00:00","Gaia_Bot1",""
"27287","AT 2018cti","22:17:30.73","+11:43:17.58","","","SDSS J221730.91+114316.3","","ASAS-SN","","ASAS-SN","ASASSN-18ns","ASASSN-3 - Paczynski, ASASSN-5 - Payne-Gaposchkin","","1","1","","17.6","g-Sloan","2018-06-21 02:24:00","Stanek",""
"27288","SN 2018ctj","14:31:14.99","+17:11:35.07","SN IIn","0.0378","","","ZTF","ZTF","ZTF","ZTF18aamftst","P48 - ZTF-Cam","","1","1","","20.35","r-ZTF","2018-04-21 08:36:57","ZTF_Bot1",""
"27289","AT 2018ctk","16:53:52.24","+39:45:36.71","","","","","ZTF","","ZTF","ZTF18aamndyk","P48 - ZTF-Cam","","1","1","","17.49","g-ZTF","2018-04-21 11:19:40","ZTF_Bot1",""
"27290","AT 2018ctl","23:10:11.16","+51:15:11.08","","","","","ZTF","","ZTF","ZTF18aazndjw","P48 - ZTF-Cam","","1","1","","18.77","g-ZTF","2018-06-10 10:56:38","ZTF_Bot1",""
"27291","AT 2018ctm","18:26:14.18","+45:00:36.69","","","","","ZTF","","ZTF","ZTF18abaxlpi","P48 - ZTF-Cam","","1","1","","20.09","g-ZTF","2018-06-15 08:57:07","ZTF_Bot1",""
"27292","AT 2018ctn","20:34:44.45","+65:10:04.32","","","","","ZTF","","ZTF","ZTF18abcfspn","P48 - ZTF-Cam","","1","1","","18.76","r-ZTF","2018-06-21 09:20:09","ZTF_Bot1",""
"27293","AT 2018cto","17:24:32.04","+70:22:20.81","","","","","ZTF","","ZTF","ZTF18abbvsiv","P48 - ZTF-Cam","","1","1","","18.71","r-ZTF","2018-06-18 06:25:55","ZTF_Bot1",""
"27294","AT 2018ctp","19:45:27.72","+44:29:56.23","","","","","ZTF","","ZTF","ZTF18aawrmhl","P48 - ZTF-Cam","","1","1","","18.78","r-ZTF","2018-06-21 09:20:09","ZTF_Bot1",""
"27295","AT 2018ctq","12:13:47.91","+40:42:56.35","","","","","ZTF","","ZTF","ZTF18aayivxm","P48 - ZTF-Cam","","1","1","","20.6","g-ZTF","2018-06-07 05:18:14","ZTF_Bot1",""
"27296","AT 2018ctr","13:48:47.81","+06:21:18.83","","","","","ZTF","","ZTF","ZTF18abaelhi","P48 - ZTF-Cam","","1","1","","18.79","r-ZTF","2018-06-13 04:33:36","ZTF_Bot1",""
"27297","SN 2018cts","13:59:14.00","+28:32:26.76","SN Ia","0.06368","","","ZTF","ZTF","ZTF","ZTF18aayiahw","P48 - ZTF-Cam","","1","1","","20.54","r-ZTF","2018-06-07 04:40:48","ZTF_Bot1",""
"27298","AT 2018ctt","21:52:18.98","+44:14:38.58","","","","","ZTF","","ZTF","ZTF18abakjgq","P48 - ZTF-Cam","","1","1","","19.88","r-ZTF","2018-06-13 10:53:45","ZTF_Bot1",""
"27299","AT 2018ctu","18:11:49.39","+19:35:04.03","","","","","ATLAS","","ATLAS","ATLAS18rlf","ATLAS1 - ACAM1","","1","1","","18.589","orange-ATLAS","2018-06-20 11:35:31","ATLAS_Bot1",""
"27300","AT 2018ctv","01:25:52.03","-01:22:01.65","","","Abell 0194","0.018","ASAS-SN","","ASAS-SN","ASASSN-18nt","ASASSN-1 - Brutus, ASASSN-5 - Payne-Gaposchkin","","1","1","","17.2","g-Sloan","2018-06-21 04:19:12","Chen",""
"27301","AT 2013ka","13:18:17.71","-02:51:43.92","","","SDSS J131818.07-025129.6","0.085","","","","","CTIO-4m - DECAM","","1","1","","20.52","R-Cousins","2013-04-02 06:16:36","Seguin",""
"27302","AT 2018ctw","01:57:57.68","-38:01:14.80","","","ESO 297-G-36","","BOSS","","BOSS","","Other - Other","","1","1","","17.4","Other-","2018-06-21 05:39:46","Parker",""
"27303","AT 2018ctx","12:59:08.79","+37:18:36.69","","","","","ZTF","","ZTF","ZTF18aahijwe","P48 - ZTF-Cam","","1","1","","18.49","r-ZTF","2018-04-16 06:11:31","ZTF_Bot1",""
"27304","AT 2018cty","13:01:45.70","+61:27:55.73","","","","","ZTF","","ZTF","ZTF18abcdzyc","P48 - ZTF-Cam","","1","1","","19.93","g-ZTF","2018-06-19 05:18:14","ZTF_Bot1",""
"27305","AT 2018ctz","12:03:09.65","+44:31:52.27","","","","","ZTF","","ZTF","ZTF18aahfojs","P48 - ZTF-Cam","","1","1","","17.23","r-ZTF","2018-06-19 05:57:07","ZTF_Bot1",""
"27306","AT 2018cua","15:32:03.56","+23:31:01.33","","","","","ZTF","","ZTF","ZTF18aazhwnh","P48 - ZTF-Cam","","1","1","","19.03","r-ZTF","2018-06-19 06:34:33","ZTF_Bot1",""
"27307","AT 2018cub","15:05:42.44","+60:47:44.00","","","","","ATLAS","","ATLAS","ATLAS18rmb","ATLAS1 - ACAM1","","1","1","","18.716","orange-ATLAS","2018-06-23 09:27:21","ATLAS_Bot1",""
"27308","AT 2018cuc","22:05:21.38","-28:29:43.83","","","","","ATLAS","","ATLAS","ATLAS18rmn","ATLAS1 - ACAM1","","1","1","","18.551","orange-ATLAS","2018-06-22 13:01:55","ATLAS_Bot1",""
"27309","AT 2018cud","20:14:30.48","-44:17:42.08","","","","","ATLAS","","ATLAS","ATLAS18rmr","ATLAS1 - ACAM1","","1","1","","18.334","orange-ATLAS","2018-06-22 11:52:48","ATLAS_Bot1",""
"27310","AT 2018cue","19:31:59.95","-62:40:17.10","","","LEDA 341401","","ASAS-SN","","ASAS-SN","ASASSN-18nu","ASASSN-3 - Paczynski","","1","1","","18.2","g-Sloan","2018-06-22 09:21:36","Stanek",""
"27311","AT 2018cuf","21:16:11.57","-64:28:57.27","","","IC5092","","DLT40","","DLT40","DLT18ab","Other - Other","","1","1","","17.4431","Clear-","2018-06-23 15:53:16","DLT40_bot1",""
"27312","AT 2018cug","17:49:19.18","+49:24:44.68","","","","","ATLAS","","ATLAS","ATLAS18rms","ATLAS1 - ACAM1","","1","1","","18.415","orange-ATLAS","2018-06-23 10:59:31","ATLAS_Bot1",""
"27313","AT 2018cuh","14:34:18.28","-37:28:44.74","","","","","ATLAS","","ATLAS","ATLAS18rng","ATLAS1 - ACAM1","","1","1","","17.59","orange-ATLAS","2018-06-22 07:58:04","ATLAS_Bot1",""
"27314","AT 2018cui","17:36:15.00","+06:12:53.44","","","","","ATLAS","","ATLAS","ATLAS18rnv","ATLAS1 - ACAM1","","1","1","","17.359","orange-ATLAS","2018-06-23 11:05:16","ATLAS_Bot1",""
"27315","AT 2018cuj","18:53:33.08","+40:09:05.43","","","","","ATLAS","","ATLAS","ATLAS18rog","ATLAS1 - ACAM1","","1","1","","19.244","orange-ATLAS","2018-06-19 12:30:14","ATLAS_Bot1",""
"27316","AT 2018cuk","14:07:47.36","-17:03:49.96","","","","","Pan-STARRS1","","Pan-STARRS1","PS18abw","PS1 - GPC1","","1","1","","21.31","w-PS1","2018-06-03 07:39:21","PS1_Bot1",""
"27317","AT 2018cul","13:17:52.63","+07:55:41.33","","","","","Pan-STARRS1","","Pan-STARRS1","PS18abv","PS1 - GPC1","","1","1","","19.63","w-PS1","2018-06-02 06:56:09","PS1_Bot1",""
"27318","AT 2018cum","14:15:14.39","-23:22:34.72","","","","","Pan-STARRS1","","Pan-STARRS1","PS18abx","PS1 - GPC1","","1","1","","21.49","w-PS1","2018-06-03 07:58:04","PS1_Bot1",""
"27319","AT 2018cun","22:19:08.71","+37:30:52.45","","","","","ATLAS","","ATLAS","ATLAS18roh","ATLAS1 - ACAM1","","1","1","","18.486","orange-ATLAS","2018-06-23 13:56:38","ATLAS_Bot1",""
"27320","AT 2018cuo","22:36:09.04","-01:45:02.19","","","GALEXASC J223608.78-014501.4","","PTSS","","PTSS","PTSS-18fod","CNEOST - STA1600","","1","1","","19.7","V-Johnson","2018-06-23 18:54:51","Li",""
"27321","AT 2018cup","12:35:22.97","+29:29:31.84","","","","","ATLAS","","ATLAS","ATLAS18ron","ATLAS1 - ACAM1","","1","1","","18.162","orange-ATLAS","2018-06-24 07:45:07","ATLAS_Bot1",""
"27322","AT 2018cuq","19:41:34.82","+03:39:28.93","","","","","ATLAS","","ATLAS","ATLAS18rpi","ATLAS1 - ACAM1","","1","1","","19.348","orange-ATLAS","2018-06-23 13:23:31","ATLAS_Bot1",""
"27323","AT 2018cur","12:59:09.13","+37:19:00.10","","","","","ATLAS","","ATLAS","ATLAS18rpj","ATLAS1 - ACAM1","","1","1","","17.333","orange-ATLAS","2018-06-22 08:16:47","ATLAS_Bot1",""
"27324","AT 2018cus","17:41:48.71","+59:56:46.40","","","","","ATLAS","","ATLAS","ATLAS18rpq","ATLAS1 - ACAM1","","1","1","","18.858","orange-ATLAS","2018-06-21 10:48:00","ATLAS_Bot1",""
"27325","AT 2018cut","22:08:38.51","-21:47:58.46","","","","","ATLAS","","ATLAS","ATLAS18rqd","ATLAS1 - ACAM1","","1","1","","18.881","orange-ATLAS","2018-06-22 13:23:31","ATLAS_Bot1",""
"27326","AT 2018cuu","22:07:10.31","-35:40:51.55","","","","","ATLAS","","ATLAS","ATLAS18rqe","ATLAS1 - ACAM1","","1","1","","18.626","orange-ATLAS","2018-06-22 13:36:28","ATLAS_Bot1",""
"27327","AT 2018cuv","21:39:27.20","-11:46:26.22","","","","","ATLAS","","ATLAS","ATLAS18rqg","ATLAS1 - ACAM1","","1","1","","18.79","orange-ATLAS","2018-06-24 13:32:09","ATLAS_Bot1",""
"27328","AT 2018cuw","18:46:14.38","+35:58:07.27","","","","","ATLAS","","ATLAS","ATLAS18rqk","ATLAS1 - ACAM1","","1","1","","17.963","orange-ATLAS","2018-06-24 12:21:36","ATLAS_Bot1",""
